Ma ck,gia,eps,pe,gt so sach,klgd10,kl niem yet,kl luu hanh,von hoa
OCH,10.4,1.22,8.51,8.02,310.0,200000000.0,200000000.0,2080.0
OGC,7.29,0.41,17.89,1.53,651401.0,300000000.0,299999999.0,2175.0
ONE,4.2,0.61,7.19,11.92,16085.0,7960310.0,7939810.0,34.94
OPC,57.5,3.73,15.26,24.22,3151.0,26577280.0,26577280.0,1514.9
ORS,11.9,1.89,6.44,3.72,389214.0,100000000.0,100000000.0,1220.0
PAC,27.6,3.44,8.15,15.75,31848.0,46471707.0,46471707.0,1301.21
PAI,9.5,0.53,17.76,10.84,,4235290.0,4235290.0,40.24
PAN,23.2,0.8,31.02,16.47,1824477.0,216358580.0,222358750.0,5514.5
PAS,15.1,0.45,32.78,12.81,599476.0,25500000.0,25500000.0,379.95
PBC,14.5,0.24,61.52,10.79,3585.0,90000000.0,90000000.0,1305.0
PBK,10.9,0.21,52.56,8.93,,8642300.0,8642300.0,94.2
PBP,7.5,1.24,6.05,11.98,452.0,4799516.0,4799516.0,36.0
PBT,7.4,0.8,9.25,10.81,,17522284.0,17522284.0,129.66
PC1,22.5,2.68,8.36,24.38,449157.0,159323929.0,191187727.0,4282.61
PCC,16.1,3.45,4.59,21.52,4886.0,11500000.0,11500000.0,181.7
PCE,9.0,1.41,6.52,16.02,2730.0,10000000.0,10000000.0,92.0
PCF,5.1,0.05,112.09,7.61,,3000000.0,3000000.0,15.3
PCM,10.3,0.26,39.02,15.94,3800.0,4000000.0,4000000.0,41.2
PCT,5.2,0.71,8.01,12.6,2181.0,23000000.0,23000000.0,131.1
PDB,7.6,1.36,5.57,15.11,1335.0,8909981.0,8909981.0,67.72
PDN,79.8,8.02,9.95,32.71,1253.0,18521954.0,18521954.0,1478.05
PDR,44.4,3.2,13.9,12.43,2998056.0,396169897.0,396169897.0,17629.56
PDV,5.7,0.21,29.79,13.86,321.0,23500000.0,23500000.0,150.4
PEC,7.0,0.34,20.41,20.76,,3115409.0,3115409.0,21.81
PEN,4.3,0.27,15.83,16.65,,5000000.0,5000000.0,21.5
PEQ,34.0,4.17,9.38,17.91,10.0,4965514.0,4965514.0,194.15
PET,16.6,1.62,10.28,18.02,2890521.0,86600124.0,85160834.0,1413.67
PFV,35.0,inf,,16.04,,60000000.0,60000000.0,2100.0
PGC,21.6,2.02,10.61,13.4,27477.0,60342638.0,60339285.0,1294.28
PGD,29.5,2.08,13.96,14.07,4127.0,89999025.0,89998070.0,2609.94
PGI,20.8,1.83,10.58,9.02,10501.0,88717773.0,88717773.0,1721.12
PGN,12.8,2.62,4.84,12.35,99820.0,3300000.0,3300000.0,41.91
PGS,19.4,0.58,32.74,19.09,120387.0,50000000.0,49998794.0,949.98
PGV,15.6,1.58,9.91,12.36,31572.0,1069969577.0,1069969577.0,16798.52
PHC,10.25,0.8,12.96,14.98,275675.0,25734340.0,25748260.0,267.78
PHH,9.5,1.62,5.87,12.15,1080.0,20000000.0,18100000.0,171.95
PHN,27.5,4.39,6.27,15.95,811.0,7253911.0,7253911.0,199.48
PHP,15.8,1.37,11.71,11.86,56412.0,326960000.0,326960000.0,5231.36
PHR,63.9,4.18,15.3,23.27,1068574.0,135499189.0,135499198.0,8658.4
PHS,9.7,0.59,16.43,10.83,200.0,90000000.0,89999510.0,873.0
PIA,28.6,3.96,6.95,13.91,1387.0,3900000.0,3900000.0,107.25
PIC,9.1,0.26,34.47,9.91,736.0,33339891.0,33339891.0,300.06
PIS,21.0,1.22,17.23,12.01,,27500000.0,27500000.0,577.5
PIT,4.7,0.13,38.25,8.44,4165.0,15199345.0,14210225.0,71.34
PJC,24.2,2.58,9.1,16.22,83.0,7326928.0,7326861.0,172.18
PJS,10.5,0.83,12.63,14.05,4610.0,9000000.0,9000000.0,94.5
PJT,10.55,2.11,5.03,14.4,3659.0,15360478.0,15360478.0,162.82
PKR,2.5,2.28,1.1,12.73,,2000000.0,2000000.0,5.0
PLA,3.2,0.16,19.49,9.76,,10000000.0,10000000.0,32.0
PLC,25.7,1.69,15.4,16.26,585150.0,80798839.0,80797566.0,2100.74
PLO,3.0,0.13,23.72,-1.53,,7192550.0,7192550.0,21.58
PLP,7.97,1.5,5.69,11.0,873037.0,40000000.0,39999847.0,340.8
PLX,53.9,0.86,62.69,17.04,953532.0,1293878081.0,1198813235.0,64376.27
PMB,9.6,0.68,14.02,11.62,100.0,12000000.0,12000000.0,115.2
PMC,56.9,8.06,7.01,38.45,1030.0,9332573.0,9332573.0,527.29
PME,76.5,4.2,18.12,25.95,24516.0,75011625.0,75011625.0,5708.38
PMG,13.15,0.37,35.48,9.58,2543.0,42162031.0,46336279.0,613.96
PMJ,18.4,2.66,7.21,26.22,220.0,1800000.0,1800000.0,34.56
PMP,10.0,1.49,6.7,14.87,250.0,4200000.0,4200000.0,42.0
PMS,15.5,2.74,5.66,21.29,612.0,7227662.0,7201772.0,111.63
PMT,4.2,0.31,15.72,16.35,100.0,5000000.0,4940000.0,23.71
PMW,27.3,2.74,9.98,15.59,10.0,40000000.0,30000000.0,819.0
PND,11.6,0.02,538.39,11.41,5860.0,6666666.0,6666666.0,88.67
PNG,14.5,1.24,11.03,4.48,190.0,9000000.0,13200000.0,180.84
PNJ,77.1,4.55,17.07,21.78,782713.0,225293585.0,225124026.0,17469.62
PNP,13.4,2.75,5.13,12.36,210.0,16100000.0,16100000.0,227.01
PNT,6.0,1.23,4.9,15.34,20.0,9282802.0,9282802.0,55.7
POB,17.4,inf,,10.35,446.0,10900000.0,10900000.0,189.66
POS,14.7,2.13,7.62,19.54,102050.0,40000000.0,40000000.0,648.0
POT,17.1,0.77,22.3,16.22,370.0,19430006.0,19430006.0,332.25
POW,11.65,0.67,17.45,12.02,13933368.0,2341871600.0,2341871600.0,27399.9
PPC,24.2,3.11,7.79,19.0,374084.0,326235000.0,320613054.0,7758.84
PPH,17.7,3.56,4.95,21.18,18311.0,74670891.0,74670891.0,1314.21
PPP,12.6,1.31,9.92,12.0,1314.0,8799991.0,8799991.0,114.4
PPS,7.5,0.94,8.11,11.98,8029.0,15000000.0,15000000.0,114.0
PPY,19.0,1.41,12.14,15.14,10.0,8240000.0,8240000.0,140.9
PQN,4.0,0.57,6.97,2.61,,30000000.0,30000000.0,120.0
